seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr10	127585461	127585565	105	*	X01491	55760	127524909	127585027	60119	-	433	upstream	433	DHX32
chr10	127585603	127585722	120	*	X01492	55760	127524909	127585027	60119	-	575	upstream	575	DHX32
chr11	191737	191916	180	*	X01602	147199	193080	194573	1494	+	1163	upstream	1163	SCGB1C1
chr11	192457	192621	165	*	X01603	147199	193080	194573	1494	+	458	upstream	458	SCGB1C1
chr11	193159	193293	135	*	X01604	147199	193080	194573	1494	+	0	inside	78	SCGB1C1
chr11	195807	195897	91	*	X01606	113746	196761	200258	3498	+	863	upstream	863	ODF3
chr11	1151320	1151473	154	*	X01647	727897	1151580	1283406	131827	+	106	upstream	106	MUC5B
chr11	2291834	2292013	180	*	X01677	430	2289728	2292182	2455	-	0	inside	168	ASCL2
chr11	2292059	2292178	120	*	X01678	430	2289728	2292182	2455	-	0	inside	3	ASCL2
chr11	2292553	2292583	31	*	X01679	430	2289728	2292182	2455	-	370	upstream	370	ASCL2
chr11	3666302	3666369	68	*	X01705	417	3666361	3685646	19286	+	0	overlapStart	0	ART1
chr11	49230830	49230893	64	*	X01824	2346	49168187	49230222	62036	-	607	upstream	607	FOLH1
chr11	49580093	49580137	45	*	X01838	440040	49580080	49831969	251890	+	0	inside	12	GRM5P1
chr11	51513570	51513716	147	*	X01889	119749	51515282	51516211	930	+	1565	upstream	1565	OR4C46
chr11	55134991	55135091	101	*	X01896	81328	55135360	55136394	1035	+	268	upstream	268	OR4A15
chr11	58171593	58171681	89	*	X01922	441608	58169938	58170882	945	-	710	upstream	710	OR5B3
chr11	66789691	66789915	225	*	X01947	91683	66790190	66818334	28145	+	274	upstream	274	SYT12
chr11	74801938	74802057	120	*	X01971	341152	74799796	74800758	963	-	1179	upstream	1179	OR2AT4
chr11	74810648	74810668	21	*	X01973	11309	74811540	74917445	105906	+	871	upstream	871	SLCO2B1
chr11	86665568	86665897	330	*	X02014	100506368	86666663	86711989	45327	+	765	upstream	765	FZD4-DT
chr11	103907439	103907541	103	*	X02046	414301	103907308	103909922	2615	+	0	inside	130	DDI1
chr11	117957625	117957700	76	*	X02073	100526771	117886487	117957508	71022	-	116	upstream	116	SMIM35
chr12	48876339	48876489	151	*	X02336	121273	48876286	48890297	14012	+	0	inside	52	C12orf54
chr12	53045681	53045785	105	*	X02344	3849	53038342	53045959	7618	-	0	inside	173	KRT2
chr12	56882490	56882502	13	*	X02357	27165	56864736	56882181	17446	-	308	upstream	308	GLS2
chr12	91348745	91348864	120	*	X02428	196477	91345992	91348953	2962	-	0	inside	88	CCER1
chr12	130822388	130822421	34	*	X02519	9271	130822433	130856877	34445	+	11	upstream	11	PIWIL1
chr12	133187812	133187976	165	*	X02558	100507055	133179736	133187037	7302	-	774	upstream	774	LRCOL1
chr12	133188037	133188291	255	*	X02559	100507055	133179736	133187037	7302	-	999	upstream	999	LRCOL1
chr12	133188817	133188848	32	*	X02560	100507055	133179736	133187037	7302	-	1779	upstream	1779	LRCOL1
chr12	133812332	133812360	29	*	X02581	647589	133794898	133812422	17525	-	0	inside	61	ANHX
chr12	133812714	133812833	120	*	X02582	647589	133794898	133812422	17525	-	291	upstream	291	ANHX
chr12	133812879	133812998	120	*	X02583	647589	133794898	133812422	17525	-	456	upstream	456	ANHX
chr12	133813089	133813193	105	*	X02584	647589	133794898	133812422	17525	-	666	upstream	666	ANHX
chr13	19582592	19582726	135	*	X02626	348021	19582399	19586774	4376	+	0	inside	192	LINC00442
chr13	19919533	19919682	150	*	X02666	100101938	19836940	19919113	82174	-	419	upstream	419	ANKRD26P3
chr13	20135463	20135597	135	*	X02677	93492	19997019	20135714	138696	-	0	inside	116	TPTE2
chr13	95253613	95253621	9	*	X02849	160897	95254104	95286899	32796	+	482	upstream	482	GPR180
chr13	111524525	111524530	6	*	X02897	283487	111516334	111522655	6322	-	1869	upstream	1869	PRECSIT
chr14	20526780	20526854	75	*	X02947	122742	20528204	20529142	939	+	1349	upstream	1349	OR4L1
chr14	93813444	93813565	122	*	X03150	341947	93813537	93814700	1164	+	0	overlapStart	0	COX8C
chr14	94985584	94985738	155	*	X03157	145264	94953620	94984181	30562	-	1402	upstream	1402	SERPINA12
chr14	101192599	101192637	39	*	X03179	8788	101193202	101201467	8266	+	564	upstream	564	DLK1
chr14	101192728	101192777	50	*	X03180	8788	101193202	101201467	8266	+	424	upstream	424	DLK1
chr14	101292009	101292046	38	*	X03182	55384	101292445	101327360	34916	+	398	upstream	398	MEG3
chr14	101347476	101347625	150	*	X03187	406914	101349316	101349412	97	+	1690	upstream	1690	MIR127
chr14	101347476	101347625	150	*	X03187	574034	101348223	101348315	93	+	597	upstream	597	MIR433
chr14	101486365	101486407	43	*	X03189	494328	101488403	101488469	67	+	1995	upstream	1995	MIR379
chr14	101505087	101505097	11	*	X03190	442913	101506027	101506092	66	+	929	upstream	929	MIR376C
chr14	101505087	101505097	11	*	X03190	574435	101506773	101506872	100	+	1675	upstream	1675	MIR376B
chr14	101505087	101505097	11	*	X03190	664615	101506406	101506485	80	+	1308	upstream	1308	MIR376A2
chr14	101505087	101505097	11	*	X03190	724024	101506556	101506636	81	+	1458	upstream	1458	MIR654
chr14	105390295	105390332	38	*	X03221	122618	105391187	105399573	8387	+	854	upstream	854	PLD4
chr14	105451444	105451547	104	*	X03222	122616	105452616	105461855	9240	+	1068	upstream	1068	CLBA1
chr14	106355264	106355773	510	*	X03394	9834	106355980	106398502	42523	+	206	upstream	206	FAM30A
chr14	106356134	106356223	90	*	X03395	9834	106355980	106398502	42523	+	0	inside	153	FAM30A
chr14	106438429	106438533	105	*	X03422	8755	106435819	106438358	2540	-	70	upstream	70	ADAM6
chr14	106938185	106938449	265	*	X03444	338005	106938455	106951529	13075	+	5	upstream	5	LINC00221
chr14	106938461	106938550	90	*	X03445	338005	106938455	106951529	13075	+	0	inside	5	LINC00221
chr15	20486022	20486172	151	*	X03489	646096	20487997	20496811	8815	+	1824	upstream	1824	CHEK2P2
chr15	20487744	20487848	105	*	X03490	646096	20487997	20496811	8815	+	148	upstream	148	CHEK2P2
chr15	21940717	21940836	120	*	X03510	646214	21932514	21940739	8226	-	0	overlapStart	0	LOC646214
chr15	22545538	22545642	105	*	X03542	646396	22546565	22570831	24267	+	922	upstream	922	REREP3
chr15	22546748	22547107	360	*	X03543	646396	22546565	22570831	24267	+	0	inside	182	REREP3
chr15	23892990	23893109	120	*	X03588	54551	23888696	23892993	4298	-	0	overlapStart	0	MAGEL2
chr15	23932528	23932662	135	*	X03591	4692	23930554	23932450	1897	-	77	upstream	77	NDN
chr15	25306115	25306204	90	*	X03641	100033417	25307479	25307575	97	+	1274	upstream	1274	SNORD116-5
chr15	25306638	25306802	165	*	X03642	100033417	25307479	25307575	97	+	676	upstream	676	SNORD116-5
chr15	25416725	25416829	105	*	X03644	100033437	25417782	25417863	82	+	952	upstream	952	SNORD115-2
chr15	25419992	25420021	30	*	X03645	100033440	25420074	25420155	82	+	52	upstream	52	SNORD115-3
chr15	25419992	25420021	30	*	X03645	100033441	25421979	25422060	82	+	1957	upstream	1957	SNORD115-4
chr15	25420725	25420829	105	*	X03646	100033441	25421979	25422060	82	+	1149	upstream	1149	SNORD115-4
chr15	25426407	25426437	31	*	X03647	100033444	25427532	25427613	82	+	1094	upstream	1094	SNORD115-7
chr15	25430737	25430797	61	*	X03648	100033446	25430778	25436644	5867	+	0	overlapStart	0	SNORD115-9
chr15	25430737	25430797	61	*	X03648	100033447	25432683	25492573	59891	+	1885	upstream	1885	SNORD115-10
chr15	25431526	25431645	120	*	X03649	100033447	25432683	25492573	59891	+	1037	upstream	1037	SNORD115-10
chr15	25434232	25434336	105	*	X03650	100033448	25434561	25494426	59866	+	224	upstream	224	SNORD115-11
chr15	25439189	25439308	120	*	X03651	100033451	25440068	25440148	81	+	759	upstream	759	SNORD115-14
chr15	25439562	25439591	30	*	X03652	100033451	25440068	25440148	81	+	476	upstream	476	SNORD115-14
chr15	25443573	25443662	90	*	X03653	100033454	25444595	25444676	82	+	932	upstream	932	SNORD115-16
chr15	25444548	25444614	67	*	X03654	100033454	25444595	25444676	82	+	0	overlapStart	0	SNORD115-16
chr15	25444548	25444614	67	*	X03654	100033455	25446470	25449585	3116	+	1855	upstream	1855	SNORD115-17
chr15	25446422	25446458	37	*	X03655	100033455	25446470	25449585	3116	+	11	upstream	11	SNORD115-17
chr15	25456925	25456999	75	*	X03660	100036563	25458806	25458876	71	+	1806	upstream	1806	SNORD115-24
chr15	25456925	25456999	75	*	X03660	347745	25456839	25457180	342	+	0	inside	85	PWAR4
chr15	25457678	25457752	75	*	X03661	100036563	25458806	25458876	71	+	1053	upstream	1053	SNORD115-24
chr15	25466699	25466743	45	*	X03662	100036565	25467501	25467574	74	+	757	upstream	757	SNORD115-28
chr15	25467461	25467565	105	*	X03663	100036565	25467501	25467574	74	+	0	overlapStart	0	SNORD115-28
chr15	25471200	25471319	120	*	X03664	100033805	25472256	25472337	82	+	936	upstream	936	SNORD115-31
chr15	25474354	25474398	45	*	X03665	100033807	25475985	25476066	82	+	1586	upstream	1586	SNORD115-33
chr15	25483104	25483223	120	*	X03666	100033811	25483133	25483214	82	+	0	includeFeature	0	SNORD115-37
chr15	25483104	25483223	120	*	X03666	100033812	25484985	25485066	82	+	1761	upstream	1761	SNORD115-38
chr15	25495649	25495813	165	*	X03667	100033818	25496006	25496087	82	+	192	upstream	192	SNORD115-44
chr15	83315768	83315917	150	*	X03822	283692	83316521	83361572	45052	+	603	upstream	603	CPEB1-AS1
chr15	84858729	84858818	90	*	X03825	440300	84860600	84878025	17426	+	1781	upstream	1781	LOC440300
chr15	99551692	99551811	120	*	X03849	145814	99511459	99551024	39566	-	667	upstream	667	PGPEP1L
chr15	101099380	101099454	75	*	X03869	441733	101087957	101099488	11532	-	0	inside	33	PRKXP1
chr15	102382401	102382419	19	*	X03881	390651	102382322	102390527	8206	+	0	inside	78	OR4F13P
chr16	60325	60444	120	*	X03882	100287029	61555	64090	2536	+	1110	upstream	1110	DDX11L10
chr16	2391419	2391943	525	*	X03931	21	2325879	2390747	64869	-	671	upstream	671	ABCA3
chr16	3285952	3285964	13	*	X03940	7752	3272325	3285457	13133	-	494	upstream	494	ZNF200
chr16	3423297	3423474	178	*	X03954	100463285	3421053	3422283	1231	-	1013	upstream	1013	MTRNR2L4
chr16	29984569	29984673	105	*	X04008	9344	29985188	30003582	18395	+	514	upstream	514	TAOK2
chr16	30109506	30109563	58	*	X04010	83719	30103635	30107537	3903	-	1968	upstream	1968	YPEL3
chr16	31580977	31581055	79	*	X04012	440359	31579088	31580845	1758	-	131	upstream	131	YBX3P1
chr16	33962301	33962435	135	*	X04150	649159	33961052	33962503	1452	-	0	inside	67	LINC00273
chr16	34404575	34404664	90	*	X04190	606551	34403802	34404762	961	-	0	inside	97	UBE2MP1
chr16	34406658	34406782	125	*	X04191	606551	34403802	34404762	961	-	1895	upstream	1895	UBE2MP1
chr16	34406558	34406596	39	*	X04192	606551	34403802	34404762	961	-	1795	upstream	1795	UBE2MP1
chr16	34596635	34596754	120	*	X04225	283914	34597787	34626084	28298	+	1032	upstream	1032	LINC01566
chr16	34740619	34740738	120	*	X04239	100130700	34739459	34740840	1382	-	0	inside	101	TP53TG3HP
chr16	34740889	34740993	105	*	X04240	100130700	34739459	34740840	1382	-	48	upstream	48	TP53TG3HP
chr16	34978743	34978913	171	*	X04257	100887740	34980894	34981007	114	+	1980	upstream	1980	RNA5SP411
chr16	66586705	66586834	130	*	X04327	100529251	66586466	66613038	26573	+	0	inside	238	CKLF-CMTM1
chr16	66586705	66586834	130	*	X04327	51192	66586466	66600190	13725	+	0	inside	238	CKLF
chr16	82044809	82044988	180	*	X04378	93517	82031251	82045093	13843	-	0	inside	104	SDR42E1
chr16	89752502	89752585	84	*	X04419	8558	89753076	89762772	9697	+	490	upstream	490	CDK10
chr16	90143843	90143977	135	*	X04422	11105	90122974	90142338	19365	-	1504	upstream	1504	PRDM7
chr17	2996862	2996927	66	*	X04432	4991	2995352	2996290	939	-	571	upstream	571	OR1D2
chr17	3196063	3196137	75	*	X04445	4994	3194929	3195876	948	-	186	upstream	186	OR3A1
chr17	3196535	3196535	1	*	X04446	4994	3194929	3195876	948	-	658	upstream	658	OR3A1
chr17	16593752	16593886	135	*	X04489	9720	16593639	16678311	84673	+	0	inside	112	CCDC144A
chr17	21823650	21823745	96	*	X04581	284123	21825370	21826499	1130	+	1624	upstream	1624	FAM27E5
chr17	22021212	22021331	120	*	X04621	100462977	22022437	22023991	1555	+	1105	upstream	1105	MTRNR2L1
chr17	42732911	42732914	4	*	X04700	284071	42733762	42755658	21897	+	847	upstream	847	MEIOC
chr17	57642406	57642495	90	*	X04728	79665	57642886	57685713	42828	+	390	upstream	390	DHX40
chr17	57642826	57642847	22	*	X04729	79665	57642886	57685713	42828	+	38	upstream	38	DHX40
chr17	77814155	77814259	105	*	X04770	8535	77806955	77813213	6259	-	941	upstream	941	CBX4
chr17	77814455	77814491	37	*	X04771	8535	77806955	77813213	6259	-	1241	upstream	1241	CBX4
chr17	77814650	77814844	195	*	X04772	8535	77806955	77813213	6259	-	1436	upstream	1436	CBX4
chr18	12093674	12093838	165	*	X04884	342850	12093848	12129748	35901	+	9	upstream	9	ANKRD62
chr18	14177009	14177171	163	*	X04911	440482	14179096	14227049	47954	+	1924	upstream	1924	ANKRD20A5P
chr18	14177737	14177881	145	*	X04912	440482	14179096	14227049	47954	+	1214	upstream	1214	ANKRD20A5P
chr18	14178122	14178270	149	*	X04913	440482	14179096	14227049	47954	+	825	upstream	825	ANKRD20A5P
chr18	14178342	14178896	555	*	X04914	440482	14179096	14227049	47954	+	199	upstream	199	ANKRD20A5P
chr18	14179256	14179315	60	*	X04915	440482	14179096	14227049	47954	+	0	inside	159	ANKRD20A5P
chr18	14748250	14748504	255	*	X04955	374860	14748239	14852737	104499	+	0	inside	10	ANKRD30B
chr18	19286521	19286625	105	*	X05003	171586	19230858	19284766	53909	-	1754	upstream	1754	ABHD3
chr18	61573431	61573550	120	*	X05095	5273	61575194	61602476	27283	+	1643	upstream	1643	SERPINB10
chr18	71983165	71983299	135	*	X05262	644041	71983110	72026422	43313	+	0	inside	54	C18orf63
chr19	291713	291757	45	*	X05324	8612	281044	291435	10392	-	277	upstream	277	PLPP2
chr19	291788	291817	30	*	X05325	8612	281044	291435	10392	-	352	upstream	352	PLPP2
chr19	291833	291937	105	*	X05326	8612	281044	291435	10392	-	397	upstream	397	PLPP2
chr19	1568583	1569080	498	*	X05346	399664	1554668	1568057	13390	-	525	upstream	525	MEX3D
chr19	2867006	2867154	149	*	X05362	80032	2867333	2878503	11171	+	178	upstream	178	ZNF556
chr19	2867193	2867215	23	*	X05363	80032	2867333	2878503	11171	+	117	upstream	117	ZNF556
chr19	2867261	2867335	75	*	X05364	80032	2867333	2878503	11171	+	0	overlapStart	0	ZNF556
chr19	3869075	3869377	303	*	X05374	23217	3804022	3869027	65006	-	47	upstream	47	ZFR2
chr19	3869408	3869542	135	*	X05375	23217	3804022	3869027	65006	-	380	upstream	380	ZFR2
chr19	5341196	5341280	85	*	X05381	5802	5158506	5340814	182309	-	381	upstream	381	PTPRS
chr19	8808981	8809051	71	*	X05463	284382	8807751	8809172	1422	-	0	inside	120	ACTL9
chr19	9432538	9432562	25	*	X05515	84527	9434448	9454521	20074	+	1885	upstream	1885	ZNF559
chr19	9609468	9609617	150	*	X05529	147741	9577031	9609279	32249	-	188	upstream	188	ZNF560
chr19	9785942	9786131	190	*	X05539	54811	9759338	9785776	26439	-	165	upstream	165	ZNF562
chr19	9811843	9811977	135	*	X05540	729648	9800600	9811493	10894	-	349	upstream	349	ZNF812P
chr19	11958822	11958851	30	*	X05556	90594	11959579	11980306	20728	+	727	upstream	727	ZNF439
chr19	11959870	11959959	90	*	X05557	90594	11959579	11980306	20728	+	0	inside	290	ZNF439
chr19	15617547	15617636	90	*	X05629	126410	15619336	15663128	43793	+	1699	upstream	1699	CYP4F22
chr19	15618707	15618946	240	*	X05630	126410	15619336	15663128	43793	+	389	upstream	389	CYP4F22
chr19	15619052	15619141	90	*	X05631	126410	15619336	15663128	43793	+	194	upstream	194	CYP4F22
chr19	15751740	15751859	120	*	X05660	4051	15751707	15771570	19864	+	0	inside	32	CYP4F3
chr19	15837958	15837986	29	*	X05683	26538	15838834	15839862	1029	+	847	upstream	847	OR10H2
chr19	15838085	15838092	8	*	X05684	26538	15838834	15839862	1029	+	741	upstream	741	OR10H2
chr19	16045458	16045592	135	*	X05737	57834	16023180	16045676	22497	-	0	inside	83	CYP4F11
chr19	16125880	16126269	390	*	X05752	126536	16126444	16138723	12280	+	174	upstream	174	LINC00661
chr19	16126705	16127079	375	*	X05753	126536	16126444	16138723	12280	+	0	inside	260	LINC00661
chr19	22195043	22195147	105	*	X05796	7757	22115760	22193745	77986	-	1297	upstream	1297	ZNF208
chr19	22468751	22468855	105	*	X05808	100287226	22469252	22499978	30727	+	396	upstream	396	ZNF729
chr19	22778735	22778884	150	*	X05832	440518	22779059	22786352	7294	+	174	upstream	174	GOLGA2P9
chr19	22779080	22779169	90	*	X05833	440518	22779059	22786352	7294	+	0	inside	20	GOLGA2P9
chr19	22817003	22817137	135	*	X05854	57615	22817126	22850472	33347	+	0	overlapStart	0	ZNF492
chr19	23941699	23941908	210	*	X05907	148213	23921997	23941693	19697	-	5	upstream	5	ZNF681
chr19	33210946	33211007	62	*	X05982	91646	33210679	33312166	101488	+	0	inside	266	TDRD12
chr19	35068366	35068676	311	*	X05991	643719	35067638	35068596	959	-	0	overlapStart	0	SCGB1B2P
chr19	35068739	35068740	2	*	X05992	643719	35067638	35068596	959	-	142	upstream	142	SCGB1B2P
chr19	35068951	35069085	135	*	X05993	643719	35067638	35068596	959	-	354	upstream	354	SCGB1B2P
chr19	35070286	35070358	73	*	X05994	643719	35067638	35068596	959	-	1689	upstream	1689	SCGB1B2P
chr19	35070422	35070540	119	*	X05995	643719	35067638	35068596	959	-	1825	upstream	1825	SCGB1B2P
chr19	35085676	35085795	120	*	X05998	284402	35084346	35085490	1145	-	185	upstream	185	SCGB2B2
chr19	35086696	35086830	135	*	X05999	284402	35084346	35085490	1145	-	1205	upstream	1205	SCGB2B2
chr19	35136217	35136306	90	*	X06007	100130342	35136778	35136957	180	+	471	upstream	471	SCGB2B3P
chr19	37287737	37287841	105	*	X06045	284408	37288452	37319013	30562	+	610	upstream	610	ZNF790-AS1
chr19	37760674	37760758	85	*	X06075	284412	37756841	37759912	3072	-	761	upstream	761	LOC284412
chr19	41618758	41618843	86	*	X06107	1572	41620353	41634281	13929	+	1509	upstream	1509	CYP2F1
chr19	41620239	41620373	135	*	X06108	1572	41620353	41634281	13929	+	0	overlapStart	0	CYP2F1
chr19	42007520	42007579	60	*	X06117	100505495	41960074	42006554	46481	-	965	upstream	965	PCAT19
chr19	42133456	42133545	90	*	X06130	1089	42125344	42133442	8099	-	13	upstream	13	CEACAM4
chr19	42133983	42134102	120	*	X06131	1089	42125344	42133442	8099	-	540	upstream	540	CEACAM4
chr19	42191896	42192009	114	*	X06139	1087	42177235	42192096	14862	-	0	inside	86	CEACAM7
chr19	42192553	42192672	120	*	X06140	1087	42177235	42192096	14862	-	456	upstream	456	CEACAM7
chr19	42348900	42348914	15	*	X06171	147719	42341150	42348508	7359	-	391	upstream	391	LYPD4
chr19	42348900	42348914	15	*	X06171	63946	42349024	42356397	7374	+	109	upstream	109	DMRTC2
chr19	42349185	42349248	64	*	X06172	147719	42341150	42348508	7359	-	676	upstream	676	LYPD4
chr19	42349185	42349248	64	*	X06172	63946	42349024	42356397	7374	+	0	inside	160	DMRTC2
chr19	43326168	43326172	5	*	X06189	100289650	43326015	43331030	5016	+	0	inside	152	PSG8-AS1
chr19	43360067	43360126	60	*	X06190	653492	43341149	43359870	18722	-	196	upstream	196	PSG10P
chr19	43384891	43385035	145	*	X06192	5669	43233275	43383871	150597	-	1019	upstream	1019	PSG1
chr19	43531743	43531796	54	*	X06199	5680	43511809	43530631	18823	-	1111	upstream	1111	PSG11
chr19	43587884	43588025	142	*	X06204	5670	43568362	43586893	18532	-	990	upstream	990	PSG2
chr19	43588866	43589000	135	*	X06205	5670	43568362	43586893	18532	-	1972	upstream	1972	PSG2
chr19	43691702	43691821	120	*	X06212	5673	43671895	43690688	18794	-	1013	upstream	1013	PSG5
chr19	43710822	43710971	150	*	X06216	5672	43696854	43709926	13073	-	895	upstream	895	PSG4
chr19	43774744	43774878	135	*	X06219	5678	43757435	43773682	16248	-	1061	upstream	1061	PSG9
chr19	44324505	44324654	150	*	X06225	284348	44300079	44324808	24730	-	0	inside	153	LYPD5
chr19	44407671	44407790	120	*	X06228	100505715	44395956	44405955	10000	-	1715	upstream	1715	LOC100505715
chr19	44954029	44954097	69	*	X06239	7772	44930426	44952766	22341	-	1262	upstream	1262	ZNF229
chr19	50553698	50553777	80	*	X06266	400710	50553937	50570052	16116	+	159	upstream	159	LOC400710
chr19	50553829	50553877	49	*	X06267	400710	50553937	50570052	16116	+	59	upstream	59	LOC400710
chr19	51962362	51962496	135	*	X06292	27181	51954101	51961708	7608	-	653	upstream	653	SIGLEC8
chr19	52005156	52005290	135	*	X06304	89858	51994613	52005043	10431	-	112	upstream	112	SIGLEC12
chr19	52395674	52395747	74	*	X06335	84765	52359056	52394145	35090	-	1528	upstream	1528	ZNF577
chr19	52871831	52871961	131	*	X06342	400713	52873170	52893597	20428	+	1208	upstream	1208	ZNF880
chr19	52956630	52956719	90	*	X06346	147660	52956829	53020131	63303	+	109	upstream	109	ZNF578
chr19	55082998	55083042	45	*	X06379	11027	55084482	55107956	23475	+	1439	upstream	1439	LILRA2
chr19	55084293	55084427	135	*	X06380	11027	55084482	55107956	23475	+	54	upstream	54	LILRA2
chr19	55128305	55128424	120	*	X06392	10859	55128629	55149004	20376	+	204	upstream	204	LILRB1
chr19	55250738	55250797	60	*	X06427	3802	55250953	55295778	44826	+	155	upstream	155	KIR2DL1
chr19	56268630	56268688	59	*	X06449	342931	56270507	56274541	4035	+	1818	upstream	1818	RFPL4A
chr19	56348167	56348376	210	*	X06458	147945	56347944	56393220	45277	+	0	inside	222	NLRP4
chr19	56348167	56348376	210	*	X06458	204801	56296763	56348128	51366	-	38	upstream	38	NLRP11
chr19	56457967	56458071	105	*	X06470	126205	56459198	56499995	40798	+	1126	upstream	1126	NLRP8
chr19	57154106	57154210	105	*	X06496	147670	57154527	57168614	14088	+	316	upstream	316	SMIM17
chr19	57154331	57154525	195	*	X06497	147670	57154527	57168614	14088	+	1	upstream	1	SMIM17
chr19	57154761	57154865	105	*	X06498	147670	57154527	57168614	14088	+	0	inside	233	SMIM17
chr19	57185088	57185192	105	*	X06506	90485	57174020	57183123	9104	-	1964	upstream	1964	ZNF835
chr19	57351305	57351424	120	*	X06529	100073347	57352270	57359922	7653	+	845	upstream	845	MIMT1
chr19	57351515	57351694	180	*	X06530	100073347	57352270	57359922	7653	+	575	upstream	575	MIMT1
chr19	57352305	57352329	25	*	X06531	100073347	57352270	57359922	7653	+	0	inside	34	MIMT1
